#, movie, href, total gross, opening, opening daily avg, release date
"1", "Harry Potter and the Sorcerer's Stone (Warner Bros.)", "/statistics/movies/harry-potter-and-the-sorcerer-s-stone-2001", "$317,575,047", "$90,294,428", "$30,098,143", "Nov 16, 2001"
"2", "The Lord of the Rings: The Fellowship of the Ring (New Line)", "/statistics/movies/the-lord-of-the-rings-the-fellowship-of-the-ring-2001", "$314,776,383", "$47,209,758", "$15,736,586", "Dec 19, 2001"
"3", "Monsters, Inc. (Disney)", "/statistics/movies/monsters-inc-2001", "$289,762,882", "$62,577,806", "$20,859,269", "Nov 02, 2001"
"4", "Shrek (DreamWorks)", "/statistics/movies/shrek-2001", "$267,665,130", "$42,347,860", "$14,115,953", "May 16, 2001"
"5", "Rush Hour 2 (New Line)", "/statistics/movies/rush-hour-2-2001", "$226,164,771", "$67,408,222", "$22,469,407", "Aug 03, 2001"
"6", "The Mummy Returns (Universal)", "/statistics/movies/the-mummy-returns-2001", "$202,019,384", "$68,138,445", "$22,712,815", "May 04, 2001"
"7", "Pearl Harbor (Disney)", "/statistics/movies/pearl-harbor-2001", "$198,542,513", "$59,078,293", "$19,692,764", "May 25, 2001"
"8", "Ocean's Eleven (Warner Bros.)", "/statistics/movies/ocean-s-eleven-2001", "$183,417,424", "$38,107,570", "$12,702,523", "Dec 07, 2001"
"9", "Jurassic Park III (Universal)", "/statistics/movies/jurassic-park-iii-2001", "$181,171,459", "$50,771,676", "$16,923,892", "Jul 18, 2001"
"10", "Planet of the Apes (2001) (Fox)", "/statistics/movies/planet-of-the-apes-2001", "$180,011,204", "$68,532,960", "$22,844,320", "Jul 27, 2001"
"11", "A Beautiful Mind (Universal)", "/statistics/movies/a-beautiful-mind-2001", "$170,742,924", "$16,564,953", "$5,521,651", "Dec 21, 2001"
"12", "Hannibal (MGM)", "/statistics/movies/hannibal-2001", "$165,092,013", "$58,003,121", "$19,334,374", "Feb 09, 2001"
"13", "American Pie 2 (Universal)", "/statistics/movies/american-pie-2-2001", "$145,103,924", "$45,116,870", "$15,038,957", "Aug 10, 2001"
"14", "The Fast and the Furious (Universal)", "/statistics/movies/the-fast-and-the-furious-2001", "$144,533,907", "$40,087,564", "$13,362,521", "Jun 22, 2001"
