#, movie, href, total gross, opening, opening daily avg, release date
"41", "Flushed Away (Paramount / DreamWorks)", "/statistics/movies/flushed-away-2006", "$64,665,898", "$18,814,432", "$6,271,477", "Nov 03, 2006"
"42", "Deja Vu (2006) (Disney)", "/statistics/movies/deja-vu-2006", "$64,038,116", "$20,575,230", "$6,858,410", "Nov 22, 2006"
"43", "Miami Vice (Universal)", "/statistics/movies/miami-vice-2006", "$63,450,126", "$25,723,083", "$8,574,361", "Jul 28, 2006"
"44", "Tyler Perry's Madea's Family Reunion (Lionsgate)", "/statistics/movies/tyler-perry-s-madea-s-family-reunion-2006", "$63,257,832", "$30,030,901", "$10,010,300", "Feb 24, 2006"
"45", "The Holiday (Sony / Columbia)", "/statistics/movies/the-holiday-2006", "$63,224,994", "$12,777,988", "$4,259,329", "Dec 08, 2006"
"46", "The Fast and the Furious: Tokyo Drift (Universal)", "/statistics/movies/the-fast-and-the-furious-tokyo-drift-2006", "$62,514,544", "$23,974,205", "$7,991,402", "Jun 16, 2006"
"47", "Underworld: Evolution (Sony / Screen Gems)", "/statistics/movies/underworld-evolution-2006", "$62,318,011", "$26,856,270", "$8,952,090", "Jan 20, 2006"
"48", "The Shaggy Dog (2006) (Disney)", "/statistics/movies/the-shaggy-dog-2006", "$61,123,679", "$16,309,631", "$5,436,544", "Mar 10, 2006"
"49", "Poseidon (Warner Bros.)", "/statistics/movies/poseidon-2006", "$60,674,930", "$22,157,727", "$7,385,909", "May 12, 2006"
"50", "The Good Shepherd (Universal)", "/statistics/movies/the-good-shepherd-2006", "$59,952,668", "$10,033,960", "$3,344,653", "Dec 22, 2006"
"51", "Little Miss Sunshine (Fox Searchlight)", "/statistics/movies/little-miss-sunshine-2006", "$59,891,800", "$371,774", "$123,925", "Jul 26, 2006"
"52", "The Benchwarmers (Sony / Columbia)", "/statistics/movies/the-benchwarmers-2006", "$59,843,357", "$19,656,629", "$6,552,210", "Apr 07, 2006"
"53", "Little Man (Sony / Columbia)", "/statistics/movies/little-man-2006", "$58,645,300", "$21,613,826", "$7,204,609", "Jul 14, 2006"
"54", "Curious George (Universal)", "/statistics/movies/curious-george-2006", "$58,360,889", "$14,704,322", "$4,901,441", "Feb 10, 2006"
"55", "Invincible (2006) (Disney)", "/statistics/movies/invincible-2006", "$57,806,819", "$17,029,961", "$5,676,654", "Aug 25, 2006"
"56", "Blood Diamond (Warner Bros.)", "/statistics/movies/blood-diamond-2006", "$57,377,288", "$8,648,215", "$2,882,738", "Dec 08, 2006"
"57", "The Queen (Miramax)", "/statistics/movies/the-queen-2006", "$56,441,627", "$122,014", "$40,671", "Sep 30, 2006"
"58", "The Guardian (2006) (Disney)", "/statistics/movies/the-guardian-2006", "$55,011,238", "$18,006,358", "$6,002,119", "Sep 29, 2006"
"59", "The Omen (2006) (Fox)", "/statistics/movies/the-omen-2006-2006", "$54,607,171", "$16,027,298", "$5,342,433", "Jun 06, 2006"
"60", "Final Destination 3 (New Line)", "/statistics/movies/final-destination-3-2006", "$54,098,837", "$19,173,094", "$6,391,031", "Feb 10, 2006"
"61", "The Prestige (Disney)", "/statistics/movies/the-prestige-2006", "$53,089,886", "$14,802,134", "$4,934,045", "Oct 20, 2006"
"62", "The Lake House (Warner Bros.)", "/statistics/movies/the-lake-house-2006", "$52,330,645", "$13,617,313", "$4,539,104", "Jun 16, 2006"
"63", "Hoodwinked (The Weinstein Company)", "/statistics/movies/hoodwinked-2005", "$51,386,988", "$12,401,574", "$4,133,858", "Jan 13, 2006"
"64", "Apocalypto (Disney)", "/statistics/movies/apocalypto-2006", "$50,866,145", "$15,004,391", "$5,001,464", "Dec 08, 2006"
"65", "Firewall (Warner Bros.)", "/statistics/movies/firewall-2006", "$48,751,668", "$13,635,313", "$4,545,104", "Feb 10, 2006"
"66", "Date Movie (Fox)", "/statistics/movies/date-movie-2006", "$48,548,778", "$19,076,367", "$6,358,789", "Feb 17, 2006"
"67", "When a Stranger Calls (2006) (Sony / Screen Gems)", "/statistics/movies/when-a-stranger-calls-2006", "$47,860,698", "$21,606,778", "$7,202,259", "Feb 03, 2006"
"68", "Hostel (Lionsgate)", "/statistics/movies/hostel-2006", "$47,326,870", "$19,557,541", "$6,519,180", "Jan 06, 2006"
"69", "Nanny McPhee (Universal)", "/statistics/movies/nanny-mcphee-2006", "$47,144,704", "$14,503,629", "$4,834,543", "Jan 27, 2006"
"70", "Silent Hill (Sony / Columbia)", "/statistics/movies/silent-hill-2006", "$46,982,345", "$20,151,766", "$6,717,255", "Apr 21, 2006"
"71", "Deep Sea 3D (Warner Bros. / IMAX)", "/statistics/movies/deep-sea-3-d-imax-2006", "$46,137,234", "$699,118", "$233,039", "Mar 03, 2006"
"72", "We Are Marshall (Warner Bros.)", "/statistics/movies/we-are-marshall-2006", "$43,545,067", "$6,115,189", "$2,038,396", "Dec 22, 2006"
"73", "Glory Road (Disney)", "/statistics/movies/glory-road-2006", "$42,647,304", "$13,595,107", "$4,531,702", "Jan 13, 2006"
"74", "Lady in the Water (Warner Bros.)", "/statistics/movies/lady-in-the-water-2006", "$42,285,294", "$18,043,082", "$6,014,361", "Jul 21, 2006"
"75", "The Hills Have Eyes (2006) (Fox Searchlight)", "/statistics/movies/the-hills-have-eyes-2006", "$41,778,649", "$15,708,049", "$5,236,016", "Mar 10, 2006"
"76", "John Tucker Must Die (Fox)", "/statistics/movies/john-tucker-must-die-2006", "$41,011,285", "$14,276,824", "$4,758,941", "Jul 28, 2006"
"77", "Stranger Than Fiction (Sony / Columbia)", "/statistics/movies/stranger-than-fiction-2006", "$40,660,629", "$13,410,518", "$4,470,173", "Nov 10, 2006"
"78", "The Illusionist (2006) (Yari Film Group)", "/statistics/movies/the-illusionist-2006", "$39,868,554", "$928,121", "$309,374", "Aug 18, 2006"
"79", "The Texas Chainsaw Massacre: The Beginning (New Line)", "/statistics/movies/the-texas-chainsaw-massacre-the-beginning-2006", "$39,517,049", "$18,508,228", "$6,169,409", "Oct 06, 2006"
"80", "The Grudge 2 (Sony / Columbia)", "/statistics/movies/the-grudge-2-2006", "$39,143,811", "$20,826,001", "$6,942,000", "Oct 13, 2006"
"81", "Gridiron Gang (Sony / Columbia)", "/statistics/movies/gridiron-gang-2006", "$38,432,643", "$14,414,734", "$4,804,911", "Sep 15, 2006"
"82", "Last Holiday (Paramount)", "/statistics/movies/last-holiday-2006", "$38,399,863", "$12,806,762", "$4,268,921", "Jan 13, 2006"
"83", "Pan's Labyrinth (Picturehouse)", "/statistics/movies/pan-s-labyrinth-2006", "$37,634,575", "$568,618", "$189,539", "Dec 29, 2006"
"84", "The Nativity Story (New Line)", "/statistics/movies/the-nativity-story-2006", "$37,629,471", "$7,849,304", "$2,616,435", "Dec 01, 2006"
"85", "The Wild (Disney)", "/statistics/movies/the-wild-2006", "$37,384,304", "$9,684,281", "$3,228,094", "Apr 14, 2006"
"86", "Man of the Year (2006) (Universal)", "/statistics/movies/man-of-the-year-2006", "$37,327,593", "$12,299,861", "$4,099,954", "Oct 13, 2006"
"87", "16 Blocks (Warner Bros.)", "/statistics/movies/16-blocks-2006", "$36,895,196", "$11,856,026", "$3,952,009", "Mar 03, 2006"
"88", "Accepted (Universal)", "/statistics/movies/accepted-2006", "$36,323,773", "$10,022,922", "$3,340,974", "Aug 18, 2006"
"89", "The Sentinel (Fox)", "/statistics/movies/the-sentinel-2006", "$36,280,258", "$14,366,654", "$4,788,885", "Apr 21, 2006"
"90", "Children of Men (Universal)", "/statistics/movies/children-of-men-2006", "$35,552,413", "$10,198,347", "$3,399,449", "Dec 25, 2006"
"91", "Deck the Halls (Fox)", "/statistics/movies/deck-the-halls-2006", "$35,093,913", "$12,000,758", "$4,000,253", "Nov 22, 2006"
"92", "Take the Lead (New Line)", "/statistics/movies/take-the-lead-2006", "$34,742,819", "$12,051,277", "$4,017,092", "Apr 07, 2006"
"93", "Babel (Paramount Vantage)", "/statistics/movies/babel-2006", "$34,302,680", "$388,868", "$129,623", "Oct 27, 2006"
"94", "Snakes on a Plane (New Line)", "/statistics/movies/snakes-on-a-plane-2006", "$34,020,144", "$13,806,311", "$4,602,104", "Aug 18, 2006"
"95", "She's the Man (Paramount / DreamWorks)", "/statistics/movies/she-s-the-man-2006", "$33,741,352", "$10,730,579", "$3,576,860", "Mar 17, 2006"
"96", "Flags of Our Fathers (Paramount / DreamWorks)", "/statistics/movies/flags-of-our-fathers-2006", "$33,602,000", "$10,245,053", "$3,415,018", "Oct 20, 2006"
