#, movie, href, total gross, opening, opening daily avg, release date
"1", "Harry Potter and the Deathly Hallows: Part 2 (Warner Bros.)", "/statistics/movies/harry-potter-and-the-deathly-hallows-part-two-2011", "$381,011,219", "$169,189,427", "$56,396,476", "Jul 15, 2011"
"2", "Transformers: Dark of the Moon (Paramount / DreamWorks)", "/statistics/movies/transformers-3-2011", "$352,390,543", "$97,852,865", "$32,617,622", "Jun 28, 2011"
"3", "The Twilight Saga: Breaking Dawn - Part 1 (Lionsgate / Summit)", "/statistics/movies/the-twilight-saga-breaking-dawn-2011", "$281,287,133", "$138,122,261", "$46,040,754", "Nov 18, 2011"
"4", "The Hangover Part II (Warner Bros.)", "/statistics/movies/the-hangover-2-2011", "$254,464,305", "$85,946,294", "$28,648,765", "May 26, 2011"
"5", "Pirates of the Caribbean: On Stranger Tides (Disney)", "/statistics/movies/pirates-of-the-caribbean-on-stranger-tides-2011", "$241,071,802", "$90,151,958", "$30,050,653", "May 20, 2011"
"6", "Fast Five (Universal)", "/statistics/movies/fast-five-2011", "$209,837,675", "$86,198,765", "$28,732,922", "Apr 29, 2011"
"7", "Mission: Impossible - Ghost Protocol (Paramount)", "/statistics/movies/mission-impossible-iv-2011", "$209,397,903", "$12,785,204", "$4,261,735", "Dec 16, 2011"
"8", "Cars 2 (Disney)", "/statistics/movies/cars-2-2011", "$191,452,396", "$66,135,507", "$22,045,169", "Jun 24, 2011"
"9", "Sherlock Holmes: A Game of Shadows (Warner Bros.)", "/statistics/movies/sherlock-holmes-2-2011", "$186,848,418", "$39,637,079", "$13,212,360", "Dec 16, 2011"
"10", "Thor (Paramount)", "/statistics/movies/thor-2011", "$181,030,624", "$65,723,338", "$21,907,779", "May 06, 2011"
"11", "Rise of the Planet of the Apes (Fox)", "/statistics/movies/rise-of-the-apes-2011", "$176,760,185", "$54,806,191", "$18,268,730", "Aug 05, 2011"
"12", "Captain America: The First Avenger (Paramount)", "/statistics/movies/the-first-avenger-captain-america-2011", "$176,654,505", "$65,058,524", "$21,686,175", "Jul 22, 2011"
"13", "The Help (Disney / DreamWorks)", "/statistics/movies/the-help-2011", "$169,708,112", "$26,044,590", "$8,681,530", "Aug 10, 2011"
"14", "Bridesmaids (Universal)", "/statistics/movies/untitled-kristen-wiig-project-2011", "$169,106,725", "$26,247,410", "$8,749,137", "May 13, 2011"
"15", "Kung Fu Panda 2 (Paramount / DreamWorks)", "/statistics/movies/kung-fu-panda-the-kaboom-of-doom-2011", "$165,249,063", "$47,656,302", "$15,885,434", "May 26, 2011"
"16", "Puss in Boots (2011) (Paramount / DreamWorks)", "/statistics/movies/puss-in-boots-working-title-2011", "$149,260,504", "$34,077,439", "$11,359,146", "Oct 28, 2011"
"17", "X-Men: First Class (Fox)", "/statistics/movies/x-men-first-class-2011", "$146,408,305", "$55,101,604", "$18,367,201", "Jun 03, 2011"
"18", "Rio (2011) (Fox)", "/statistics/movies/rio-2011", "$143,619,809", "$39,225,962", "$13,075,321", "Apr 15, 2011"
"19", "The Smurfs (Sony / Columbia)", "/statistics/movies/the-smurfs-2011", "$142,614,158", "$35,611,637", "$11,870,546", "Jul 29, 2011"
"20", "Alvin and the Chipmunks: Chipwrecked (Fox)", "/statistics/movies/alvin-and-the-chipmunks-3d-2011", "$133,110,742", "$23,244,744", "$7,748,248", "Dec 16, 2011"
"21", "Super 8 (Paramount)", "/statistics/movies/super-8-2011", "$127,004,179", "$35,451,168", "$11,817,056", "Jun 09, 2011"
"22", "Rango (Paramount)", "/statistics/movies/rango-2011", "$123,257,581", "$38,079,323", "$12,693,108", "Mar 04, 2011"
