#,movie,href,total gross,opening,opening daily avg,release date
"45","Contraband (Universal)","/statistics/movies/contraband-2012","$66,528,000","$24,349,815","$8,116,605","Jan 13, 2012"
"46","Tyler Perry's Madea's Witness Protection (Lionsgate)","/statistics/movies/tyler-perrys-madeas-witness-protection-2012","$65,653,242","$25,390,575","$8,463,525","Jun 29, 2012"
"47","Battleship (Universal)","/statistics/movies/battleship-2011","$65,235,400","$25,534,825","$8,511,608","May 18, 2012"
"48","Pitch Perfect (Universal)","/statistics/movies/pitch-perfect-2012","$65,001,093","$5,149,433","$1,716,478","Sep 28, 2012"
"49","Mirror Mirror (Relativity Media)","/statistics/movies/snow-white-2012","$64,935,167","$18,132,085","$6,044,028","Mar 30, 2012"
"50","Chronicle (Fox)","/statistics/movies/chronicle-2012","$64,575,175","$22,004,098","$7,334,699","Feb 03, 2012"
"51","Hope Springs (2012) (Sony / Columbia)","/statistics/movies/great-hope-springs-2012","$63,536,011","$14,650,121","$4,883,374","Aug 08, 2012"
"52","Underworld Awakening (Sony / Screen Gems)","/statistics/movies/underworld-4-in-3d-2011","$62,321,039","$25,306,725","$8,435,575","Jan 20, 2012"
"53","The Lucky One (2012) (Warner Bros.)","/statistics/movies/the-lucky-one-2012-2012","$60,457,138","$22,518,358","$7,506,119","Apr 20, 2012"
"54","The Dictator (Paramount)","/statistics/movies/the-dictator-2012","$59,650,222","$17,435,092","$5,811,697","May 16, 2012"
"55","Total Recall (2012) (Sony / Columbia)","/statistics/movies/total-recall-2011-2011","$58,877,969","$25,577,758","$8,525,919","Aug 03, 2012"
"56","Titanic 3D (Paramount)","/statistics/movies/titanic-2012-re-issue-1997","$57,884,114","$17,285,453","$5,761,818","Apr 04, 2012"
"57","American Reunion (Universal)","/statistics/movies/american-reunion-2012","$56,758,835","$21,514,080","$7,171,360","Apr 06, 2012"
"58","ParaNorman (Focus)","/statistics/movies/paranorman-2012","$56,003,051","$14,087,050","$4,695,683","Aug 17, 2012"
"59","This Means War (Fox)","/statistics/movies/this-means-war-2012","$54,760,791","$17,405,930","$5,801,977","Feb 17, 2012"
"60","Project X (2012) (Warner Bros.)","/statistics/movies/project-x-2010","$54,731,865","$21,051,363","$7,017,121","Mar 02, 2012"
"61","The Woman in Black (CBS Films)","/statistics/movies/the-woman-in-black-2012","$54,333,290","$20,874,072","$6,958,024","Feb 03, 2012"
"62","Paranormal Activity 4 (Paramount)","/statistics/movies/paranormal-activity-sequel-2012","$53,900,335","$29,003,866","$9,667,955","Oct 19, 2012"
"63","The Devil Inside (Paramount)","/statistics/movies/the-devil-inside-2012","$53,261,944","$33,732,515","$11,244,172","Jan 06, 2012"
"64","The Odd Life of Timothy Green (Disney)","/statistics/movies/the-odd-life-of-timothy-green-2012","$51,854,875","$10,822,903","$3,607,634","Aug 15, 2012"
"65","Ghost Rider: Spirit of Vengeance (Sony / Columbia)","/statistics/movies/ghost-rider-2-2012","$51,774,002","$22,115,334","$7,371,778","Feb 17, 2012"
"66","The Grey (Open Road)","/statistics/movies/the-grey-2012","$51,580,136","$19,665,101","$6,555,034","Jan 27, 2012"
"67","Red Tails (Fox)","/statistics/movies/red-tails-2012","$49,876,377","$18,782,154","$6,260,718","Jan 20, 2012"
"68","The Possession (Lionsgate)","/statistics/movies/dibbuk-box-2011","$49,130,154","$17,732,480","$5,910,827","Aug 31, 2012"
