#,movie,href,total gross,opening,opening daily avg,release date
"1","The Hunger Games: Catching Fire (Lionsgate)","/statistics/movies/catching-fire-2013","$424,668,047","$158,074,286","$52,691,429","Nov 22, 2013"
"2","Iron Man 3 (Disney)","/statistics/movies/iron-man-3-2013","$409,013,994","$174,144,585","$58,048,195","May 03, 2013"
"3","Frozen (2013) (Disney)","/statistics/movies/untitled-disneypixar-film-2013","$400,738,009","$243,390","$81,130","Nov 22, 2013"
"4","Despicable Me 2 (Universal)","/statistics/movies/despicable-me-2-2013","$368,065,385","$83,517,315","$27,839,105","Jul 03, 2013"
"5","Man of Steel (Warner Bros.)","/statistics/movies/superman-man-of-steel-2012","$291,045,518","$116,619,362","$38,873,121","Jun 13, 2013"
"6","Gravity (Warner Bros.)","/statistics/movies/gravity-2012","$274,092,705","$55,785,112","$18,595,037","Oct 04, 2013"
"7","Monsters University (Disney)","/statistics/movies/monsters-inc-2-2012","$268,492,764","$82,429,469","$27,476,490","Jun 21, 2013"
"8","The Hobbit: The Desolation of Smaug (Warner Bros. / New Line)","/statistics/movies/the-hobbit-there-and-back-again-2013","$258,366,855","$73,645,197","$24,548,399","Dec 13, 2013"
"9","Fast & Furious 6 (Universal)","/statistics/movies/the-fast-and-the-furious-6-2012","$238,679,850","$97,375,245","$32,458,415","May 24, 2013"
"10","Oz: The Great and Powerful (Disney)","/statistics/movies/oz-the-great-and-powerful-2013","$234,911,825","$79,110,453","$26,370,151","Mar 08, 2013"
"11","Star Trek Into Darkness (Paramount)","/statistics/movies/untitled-star-trek-sequel-2012","$228,778,661","$70,165,559","$23,388,520","May 16, 2013"
"12","Thor: The Dark World (Disney)","/statistics/movies/thor-2-2013","$206,362,140","$85,737,841","$28,579,280","Nov 08, 2013"
"13","World War Z (Paramount)","/statistics/movies/world-war-z-2012","$202,359,711","$66,411,834","$22,137,278","Jun 21, 2013"
"14","The Croods (Fox / DreamWorks Animation)","/statistics/movies/the-croods-working-title-2012","$187,168,425","$43,639,736","$14,546,579","Mar 22, 2013"
"15","The Heat (Fox)","/statistics/movies/sandra-bullockmelissa-mccarthy-comedy-2013","$159,582,188","$39,115,043","$13,038,348","Jun 28, 2013"
"16","We're the Millers (Warner Bros. / New Line)","/statistics/movies/were-the-millers-2013","$150,394,119","$26,419,396","$8,806,465","Aug 07, 2013"
"17","American Hustle (Sony / Columbia)","/statistics/movies/untitled-david-o-russell-film-2013","$150,117,807","$740,455","$246,818","Dec 13, 2013"
"18","The Great Gatsby (2013) (Warner Bros.)","/statistics/movies/the-great-gatsby-2012-2012","$144,840,419","$50,085,184","$16,695,061","May 10, 2013"
"19","The Conjuring (Warner Bros. / New Line)","/statistics/movies/the-conjuring-2013","$137,395,174","$41,855,326","$13,951,775","Jul 19, 2013"
"20","Identity Thief (Universal)","/statistics/movies/identity-thief-2013","$134,506,920","$34,551,025","$11,517,008","Feb 08, 2013"
