#,movie,href,total gross,opening,opening daily avg,release date
"1","American Sniper (Warner Bros.)","/statistics/movies/american-sniper-2014","$350,126,372","$633,456","$211,152","Dec 25, 2014"
"2","The Hunger Games: Mockingjay - Part 1 (Lionsgate)","/statistics/movies/the-hunger-games-mockingjay-part-1-2014","$337,135,885","$121,897,634","$40,632,545","Nov 21, 2014"
"3","Guardians of the Galaxy (Disney)","/statistics/movies/marvel-untitled-1-2014","$333,176,600","$94,320,883","$31,440,294","Aug 01, 2014"
"4","Captain America: The Winter Soldier (Disney)","/statistics/movies/captain-america-2-2014","$259,766,572","$95,023,721","$31,674,574","Apr 04, 2014"
"5","The LEGO Movie (Warner Bros.)","/statistics/movies/lego-2014","$257,760,692","$69,050,279","$23,016,760","Feb 07, 2014"
"6","The Hobbit: The Battle of the Five Armies (Warner Bros. / New Line)","/statistics/movies/untitled-third-hobbit-film-2014","$255,119,788","$54,724,334","$18,241,445","Dec 17, 2014"
"7","Transformers: Age of Extinction (Paramount)","/statistics/movies/transformers-4-2014","$245,439,076","$100,038,390","$33,346,130","Jun 27, 2014"
"8","Maleficent (Disney)","/statistics/movies/maleficent-2014","$241,410,378","$69,431,298","$23,143,766","May 30, 2014"
"9","X-Men: Days of Future Past (Fox)","/statistics/movies/untitled-x-men-2014","$233,921,534","$90,823,660","$30,274,553","May 23, 2014"
"10","Big Hero 6 (Disney)","/statistics/movies/big-hero-6-2014","$222,527,828","$56,215,889","$18,738,630","Nov 07, 2014"
"11","Dawn of The Planet of The Apes (Fox)","/statistics/movies/dawn-of-the-planet-of-the-apes-2014","$208,545,589","$72,611,427","$24,203,809","Jul 11, 2014"
"12","The Amazing Spider-Man 2 (Sony / Columbia)","/statistics/movies/the-amazing-spider-man-2-2014","$202,853,933","$91,608,337","$30,536,112","May 02, 2014"
"13","Godzilla (2014) (Warner Bros.)","/statistics/movies/untitled-godzilla-film-2014","$200,676,069","$93,188,384","$31,062,795","May 16, 2014"
"14","22 Jump Street (Sony / Columbia)","/statistics/movies/21-jump-street-2-2014","$191,719,337","$57,071,445","$19,023,815","Jun 13, 2014"
"15","Teenage Mutant Ninja Turtles (2014) (Paramount)","/statistics/movies/teenage-mutant-ninja-turtles-2013","$191,204,754","$65,575,105","$21,858,368","Aug 08, 2014"
"16","Interstellar (Paramount)","/statistics/movies/interstellar-2014","$188,020,017","$47,510,360","$15,836,787","Nov 05, 2014"
