#, movie, href, total gross, opening, opening daily avg, release date
"34", "The Book of Eli (Warner Bros.)", "/statistics/movies/the-book-of-eli-2010", "$94,835,000", "$32,789,494", "$10,929,831", "Jan 15, 2010"
"35", "The Fighter (Paramount)", "/statistics/movies/the-fighter-2010", "$93,617,009", "$300,010", "$100,003", "Dec 10, 2010"
"36", "The Town (Warner Bros.)", "/statistics/movies/the-town-2010", "$92,186,262", "$23,808,032", "$7,936,011", "Sep 17, 2010"
"37", "Prince of Persia: The Sands of Time (Disney)", "/statistics/movies/prince-of-persia-the-sands-of-time-2010", "$90,759,676", "$30,095,259", "$10,031,753", "May 28, 2010"
"38", "Red (2010) (Summit)", "/statistics/movies/red-2010", "$90,380,162", "$21,761,408", "$7,253,803", "Oct 15, 2010"
"39", "Percy Jackson and the Olympians: The Lightning Thief (Fox)", "/statistics/movies/percy-jackson-the-olympians-the-lightning-thief-2010", "$88,761,720", "$31,236,067", "$10,412,022", "Feb 12, 2010"
"40", "Paranormal Activity 2 (Paramount)", "/statistics/movies/sequel-to-paranormal-activity-2010", "$84,752,907", "$40,678,424", "$13,559,475", "Oct 22, 2010"
"41", "Unstoppable (2010) (Fox)", "/statistics/movies/unstoppable-2010-2", "$81,562,942", "$22,688,457", "$7,562,819", "Nov 12, 2010"
"42", "Eat Pray Love (Sony / Columbia)", "/statistics/movies/eat-pray-love-2010", "$80,574,010", "$23,104,523", "$7,701,508", "Aug 13, 2010"
"43", "Dear John (Sony / Screen Gems)", "/statistics/movies/dear-john-2010", "$80,014,842", "$30,468,614", "$10,156,205", "Feb 05, 2010"
"44", "The A-Team (Fox)", "/statistics/movies/the-a-team-2010", "$77,222,099", "$25,669,455", "$8,556,485", "Jun 11, 2010"
"45", "Knight and Day (Fox)", "/statistics/movies/knight-day-2010", "$76,423,035", "$20,139,985", "$6,713,328", "Jun 23, 2010"
"46", "Dinner for Schmucks (Paramount / DreamWorks)", "/statistics/movies/dinner-for-schmucks-2010", "$73,026,337", "$23,527,839", "$7,842,613", "Jul 30, 2010"
"47", "The Tourist (Sony / Columbia)", "/statistics/movies/the-tourist-2010", "$67,631,157", "$16,472,458", "$5,490,819", "Dec 10, 2010"
"48", "The Bounty Hunter (Sony / Columbia)", "/statistics/movies/the-bounty-hunter-2010", "$67,061,228", "$20,686,423", "$6,895,474", "Mar 19, 2010"
"49", "Diary of a Wimpy Kid (Fox)", "/statistics/movies/diary-of-a-wimpy-kid-2010", "$64,003,625", "$22,126,166", "$7,375,389", "Mar 19, 2010"
"50", "The Sorcerer's Apprentice (Disney)", "/statistics/movies/the-sorcerer-s-apprentice-2010", "$63,150,991", "$17,619,622", "$5,873,207", "Jul 14, 2010"
"51", "A Nightmare on Elm Street (2010) (Warner Bros. / New Line)", "/statistics/movies/a-nightmare-on-elm-street-2010-2010", "$63,075,011", "$32,902,000", "$10,967,333", "Apr 30, 2010"
"52", "The Last Song (Disney)", "/statistics/movies/the-last-song-2010", "$62,950,384", "$16,007,426", "$5,335,809", "Mar 31, 2010"
"53", "The Wolfman (Universal)", "/statistics/movies/the-wolfman-2010", "$61,979,680", "$31,479,235", "$10,493,078", "Feb 12, 2010"
"54", "Get Him to the Greek (Universal)", "/statistics/movies/get-him-to-the-greek-2010", "$60,974,475", "$17,571,000", "$5,857,000", "Jun 04, 2010"
"55", "Resident Evil: Afterlife (Sony / Screen Gems)", "/statistics/movies/resident-evil-afterlife-in-3d-2010", "$60,128,566", "$26,650,264", "$8,883,421", "Sep 10, 2010"
"56", "Tyler Perry's Why Did I Get Married Too? (Lionsgate)", "/statistics/movies/tyler-perry-s-why-did-i-get-married-too-2010", "$60,095,852", "$29,289,537", "$9,763,179", "Apr 02, 2010"
"57", "The Tooth Fairy (Fox)", "/statistics/movies/the-tooth-fairy-2010", "$60,022,256", "$14,010,409", "$4,670,136", "Jan 22, 2010"
"58", "Secretariat (Disney)", "/statistics/movies/secretariat-2010", "$59,713,955", "$12,694,770", "$4,231,590", "Oct 08, 2010"
"59", "Easy A (Sony / Screen Gems)", "/statistics/movies/easy-a-2010", "$58,401,464", "$17,734,040", "$5,911,347", "Sep 17, 2010"
"60", "Takers (Sony / Screen Gems)", "/statistics/movies/takers-2010", "$57,744,720", "$20,512,304", "$6,837,435", "Aug 27, 2010"
"61", "Legend of the Guardians: The Owls of Ga'Hoole (Warner Bros.)", "/statistics/movies/guardians-of-ga-hoole-3d-2010", "$55,675,313", "$16,112,211", "$5,370,737", "Sep 24, 2010"
"62", "Life As We Know It (Warner Bros.)", "/statistics/movies/life-as-we-know-it-2010", "$53,374,681", "$14,506,464", "$4,835,488", "Oct 08, 2010"
"63", "Letters to Juliet (Summit)", "/statistics/movies/letters-to-juliet-2010", "$53,032,453", "$13,540,486", "$4,513,495", "May 14, 2010"
"64", "Wall Street: Money Never Sleeps (Fox)", "/statistics/movies/wall-street-2-2010", "$52,474,616", "$19,011,188", "$6,337,063", "Sep 24, 2010"
"65", "Predators (Fox)", "/statistics/movies/robert-rodriguez-s-predators-2010", "$52,000,688", "$24,760,882", "$8,253,627", "Jul 09, 2010"
"66", "Hot Tub Time Machine (MGM)", "/statistics/movies/hot-tub-time-machine-2010", "$50,288,000", "$14,020,502", "$4,673,501", "Mar 26, 2010"
"67", "Hubble 3D (Warner Bros. / IMAX)", "/statistics/movies/hubble-3d-2010", "$49,510,656", "$410,920", "$136,973", "Mar 19, 2010"
"68", "Kick-Ass (Lionsgate)", "/statistics/movies/kick-ass-2010", "$48,071,303", "$19,828,687", "$6,609,562", "Apr 16, 2010"
"69", "Killers (2010) (Lionsgate)", "/statistics/movies/killers-2010", "$47,059,963", "$15,837,266", "$5,279,089", "Jun 04, 2010"
"70", "Saw 3D (Lionsgate)", "/statistics/movies/saw-vii-3d-1900", "$45,710,178", "$24,230,123", "$8,076,708", "Oct 29, 2010"
"71", "Cop Out (Warner Bros.)", "/statistics/movies/a-couple-of-dicks-2010", "$44,875,000", "$18,211,126", "$6,070,375", "Feb 26, 2010"
"72", "Cats & Dogs: The Revenge of Kitty Galore (Warner Bros.)", "/statistics/movies/cats-dogs-revenge-of-kitty-galore-2010", "$43,585,753", "$12,279,363", "$4,093,121", "Jul 30, 2010"
"73", "Edge of Darkness (Warner Bros.)", "/statistics/movies/edge-of-darkness-2010", "$43,313,294", "$17,214,384", "$5,738,128", "Jan 29, 2010"
"74", "Gulliver's Travels (2010) (Fox)", "/statistics/movies/gullivers-travels-2010", "$42,779,261", "$6,307,691", "$2,102,564", "Dec 25, 2010"
"75", "Death at a Funeral (2010) (Sony / Screen Gems)", "/statistics/movies/death-at-a-funeral-2010-2010", "$42,739,347", "$16,217,540", "$5,405,847", "Apr 16, 2010"
"76", "Step Up 3D (Disney)", "/statistics/movies/step-up-3-d-2010", "$42,400,223", "$15,812,311", "$5,270,770", "Aug 06, 2010"
"77", "The Last Exorcism (Lionsgate)", "/statistics/movies/the-last-exorcism-2010", "$41,034,350", "$20,366,613", "$6,788,871", "Aug 27, 2010"
"78", "Legion (Sony / Screen Gems)", "/statistics/movies/legion-2010-2010", "$40,168,080", "$17,501,625", "$5,833,875", "Jan 22, 2010"
"79", "Burlesque (Sony / Screen Gems)", "/statistics/movies/burlesque-2010", "$39,440,655", "$11,947,744", "$3,982,581", "Nov 24, 2010"
"80", "The Crazies (Overture)", "/statistics/movies/the-crazies-2010", "$39,123,589", "$16,067,552", "$5,355,851", "Feb 26, 2010"
"81", "For Colored Girls (Lionsgate)", "/statistics/movies/tyler-perrys-for-colored-girl-2011", "$37,729,698", "$19,497,324", "$6,499,108", "Nov 05, 2010"
"82", "The Back-up Plan (CBS Films)", "/statistics/movies/the-back-up-plan-2010", "$37,490,007", "$12,201,710", "$4,067,237", "Apr 23, 2010"
"83", "Vampires Suck (Fox)", "/statistics/movies/untitled-vampire-spoof-2010", "$36,661,504", "$12,202,831", "$4,067,610", "Aug 18, 2010"
"84", "The American (Focus)", "/statistics/movies/the-american-2009", "$35,606,376", "$13,177,790", "$4,392,597", "Sep 01, 2010"
"85", "Green Zone (Universal)", "/statistics/movies/green-zone-2010", "$35,053,660", "$14,309,295", "$4,769,765", "Mar 12, 2010"
"86", "Marmaduke (Fox)", "/statistics/movies/marmaduke-2010", "$33,644,788", "$11,599,661", "$3,866,554", "Jun 04, 2010"
"87", "Devil (Universal)", "/statistics/movies/the-night-chronicles-devil-2011", "$33,601,190", "$12,289,375", "$4,096,458", "Sep 17, 2010"
"88", "Hereafter (Warner Bros.)", "/statistics/movies/hereafter-2010", "$32,746,941", "$220,322", "$73,441", "Oct 15, 2010"
"89", "When in Rome (Disney)", "/statistics/movies/when-in-rome-2010", "$32,669,055", "$12,350,041", "$4,116,680", "Jan 29, 2010"
"90", "Love and Other Drugs (Fox)", "/statistics/movies/love-and-other-drugs-2010", "$32,367,005", "$9,739,161", "$3,246,387", "Nov 24, 2010"
"91", "She's Out of My League (Paramount)", "/statistics/movies/she-s-out-of-my-league-2010", "$31,628,317", "$9,775,278", "$3,258,426", "Mar 12, 2010"
"92", "Scott Pilgrim vs. the World (Universal)", "/statistics/movies/scott-pilgrim-vs-the-world-2010", "$31,524,275", "$10,609,795", "$3,536,598", "Aug 13, 2010"
"93", "Charlie St. Cloud (Universal)", "/statistics/movies/charlie-st-cloud-2010", "$31,162,545", "$12,381,585", "$4,127,195", "Jul 30, 2010"
"94", "Morning Glory (2010) (Paramount)", "/statistics/movies/morning-glory-2010", "$31,011,732", "$9,203,266", "$3,067,755", "Nov 10, 2010"
"95", "How Do You Know (Sony / Columbia)", "/statistics/movies/untitled-jim-brooks-2010", "$30,212,620", "$7,484,696", "$2,494,899", "Dec 17, 2010"
"96", "Daybreakers (Lionsgate)", "/statistics/movies/daybreakers-2010", "$30,101,144", "$15,146,692", "$5,048,897", "Jan 08, 2010"
"97", "Nanny McPhee Returns (Universal)", "/statistics/movies/nanny-mcphee-2-2010", "$29,011,215", "$8,407,685", "$2,802,562", "Aug 20, 2010"
"98", "The Switch (2010) (Miramax)", "/statistics/movies/the-baster-2010", "$27,779,426", "$8,436,713", "$2,812,238", "Aug 20, 2010"
"99", "Brooklyn's Finest (Overture)", "/statistics/movies/brooklyn-s-finest-2010", "$27,163,593", "$13,350,299", "$4,450,100", "Mar 05, 2010"
"100", "Machete (Fox)", "/statistics/movies/machete-2010", "$26,593,646", "$11,416,164", "$3,805,388", "Sep 03, 2010"
"101", "Ramona and Beezus (Fox)", "/statistics/movies/ramona-and-beezus-2010", "$26,167,002", "$7,810,481", "$2,603,494", "Jul 23, 2010"
"102", "Leap Year (2010) (Universal)", "/statistics/movies/leap-year-2010", "$25,918,802", "$9,202,815", "$3,067,605", "Jan 08, 2010"
"103", "You Again (Disney)", "/statistics/movies/you-again-2010", "$25,702,053", "$8,407,513", "$2,802,504", "Sep 24, 2010"
"104", "Alpha and Omega (Lionsgate)", "/statistics/movies/alpha-and-omega-2010", "$25,107,267", "$9,106,906", "$3,035,635", "Sep 17, 2010"
"105", "Piranha 3D (Weinstein Company)", "/statistics/movies/piranha-3d-2010", "$25,003,155", "$10,106,872", "$3,368,957", "Aug 20, 2010"
"106", "Lottery Ticket (Warner Bros.)", "/statistics/movies/lottery-ticket-2010", "$24,719,879", "$10,652,297", "$3,550,766", "Aug 20, 2010"
"107", "The Spy Next Door (Lionsgate)", "/statistics/movies/the-spy-next-door-2010", "$24,307,832", "$9,726,056", "$3,242,019", "Jan 15, 2010"
"108", "From Paris with Love (Lionsgate)", "/statistics/movies/from-paris-with-love-2010", "$24,077,225", "$8,158,860", "$2,719,620", "Feb 05, 2010"
"109", "The Losers (Warner Bros.)", "/statistics/movies/the-losers-2010", "$23,591,432", "$9,406,348", "$3,135,449", "Apr 23, 2010"
"110", "Faster (2010) (CBS Films)", "/statistics/movies/faster-2010", "$23,240,020", "$8,523,153", "$2,841,051", "Nov 24, 2010"
"111", "Just Wright (Fox Searchlight)", "/statistics/movies/just-wright-2010", "$21,524,012", "$8,284,989", "$2,761,663", "May 14, 2010"
"112", "Skyline (Universal / Rogue)", "/statistics/movies/skyline-2011", "$21,393,620", "$11,692,415", "$3,897,472", "Nov 12, 2010"
"113", "The Next Three Days (Lionsgate)", "/statistics/movies/the-next-three-days-2010", "$21,148,651", "$6,542,779", "$2,180,926", "Nov 19, 2010"
"114", "The Kids Are All Right (Focus)", "/statistics/movies/the-kids-are-all-right-2010", "$20,811,365", "$491,971", "$163,990", "Jul 09, 2010"
"115", "Our Family Wedding (Fox Searchlight)", "/statistics/movies/our-family-wedding-2010", "$20,250,000", "$7,629,862", "$2,543,287", "Mar 12, 2010"
"116", "Country Strong (Sony / Screen Gems)", "/statistics/movies/love-dont-let-me-down-2010", "$20,218,921", "$30,452", "$10,151", "Dec 22, 2010"
"117", "Oceans (Disneynature)", "/statistics/movies/oceans-2010", "$19,422,319", "$6,058,958", "$2,019,653", "Apr 22, 2010"
"118", "Remember Me (Summit)", "/statistics/movies/remember-me-2010", "$19,068,240", "$8,089,139", "$2,696,380", "Mar 12, 2010"
"119", "127 Hours (Fox Searchlight)", "/statistics/movies/127-hours-2010", "$18,335,230", "$264,851", "$88,284", "Nov 05, 2010"
"120", "Going the Distance (2010) (Warner Bros. / New Line)", "/statistics/movies/going-the-distance-2010", "$17,804,299", "$6,884,964", "$2,294,988", "Sep 03, 2010"
"121", "Furry Vengeance (Summit)", "/statistics/movies/furry-vengeance-2010", "$17,630,465", "$6,627,564", "$2,209,188", "Apr 30, 2010"
"122", "Splice (Warner Bros)", "/statistics/movies/splice-2009", "$17,010,170", "$7,385,000", "$2,461,667", "Jun 04, 2010"
"123", "The Ghost Writer (Summit)", "/statistics/movies/the-ghost-writer-2010", "$15,541,549", "$183,009", "$61,003", "Feb 19, 2010"
"124", "Youth in Revolt (The Weinstein Company)", "/statistics/movies/youth-in-revolt-2010", "$15,275,517", "$6,888,334", "$2,296,111", "Jan 08, 2010"
"125", "My Soul to Take (Universal / Rogue)", "/statistics/movies/my-soul-to-take-1900", "$14,744,435", "$6,842,220", "$2,280,740", "Oct 08, 2010"
"126", "Repo Men (Universal)", "/statistics/movies/repo-men-2010", "$13,794,389", "$6,126,170", "$2,042,057", "Mar 19, 2010"
"127", "Case 39 (Paramount Vantage)", "/statistics/movies/case-39-1900", "$13,261,851", "$5,350,570", "$1,783,523", "Oct 01, 2010"
"128", "Extraordinary Measures (CBS Films)", "/statistics/movies/extraordinary-measures-2010", "$12,482,946", "$6,012,594", "$2,004,198", "Jan 22, 2010"
"129", "Let Me In (Relativity / Overture)", "/statistics/movies/let-me-in-2010", "$12,134,935", "$5,147,479", "$1,715,826", "Oct 01, 2010"
"130", "Jonah Hex (Warner Bros.)", "/statistics/movies/jonah-hex-2010", "$10,547,117", "$5,379,000", "$1,793,000", "Jun 18, 2010"
"131", "The Girl with the Dragon Tattoo (2009) (Music Box)", "/statistics/movies/the-girl-with-the-dragon-tattoo-2009", "$10,095,170", "$335,502", "$111,834", "Mar 19, 2010"
"132", "Blue Valentine (2010) (Weinstein Company)", "/statistics/movies/blue-valentine-2010-2", "$9,706,328", "$193,728", "$64,576", "Dec 29, 2010"
"133", "Fair Game (2010) (Summit)", "/statistics/movies/fair-game-2010", "$9,540,691", "$651,082", "$217,027", "Nov 05, 2010"
"134", "Get Low (Sony Pictures Classics)", "/statistics/movies/get-low-2010", "$9,176,933", "$88,182", "$29,394", "Jul 30, 2010"
"135", "MacGruber (Universal / Rogue)", "/statistics/movies/macgruber-2010", "$8,525,600", "$4,043,000", "$1,347,667", "May 21, 2010"
"136", "The Girl Who Played With Fire (Music Box)", "/statistics/movies/millenium-2-2009", "$7,638,241", "$904,998", "$301,666", "Jul 09, 2010"
"137", "Cyrus (Fox Searchlight)", "/statistics/movies/cyrus-2010", "$7,455,447", "$181,716", "$60,572", "Jun 18, 2010"
"138", "Babies (Focus)", "/statistics/movies/babies-2010", "$7,320,323", "$2,161,460", "$720,487", "May 07, 2010"
"139", "Conviction (Fox Searchlight)", "/statistics/movies/conviction-2010", "$6,783,129", "$102,351", "$34,117", "Oct 15, 2010"
"140", "City Island (Anchor Bay)", "/statistics/movies/city-island-2010", "$6,671,036", "$32,001", "$10,667", "Mar 19, 2010"
"141", "The Last Station (Sony Pictures Classics)", "/statistics/movies/the-last-station-2010", "$6,617,867", "$73,723", "$24,574", "Jan 15, 2010"
"142", "Winter's Bone (Roadside Attractions)", "/statistics/movies/winters-bone-2010", "$6,531,503", "$84,887", "$28,296", "Jun 11, 2010"
"143", "Waiting for 'Superman' (Paramount Vantage)", "/statistics/movies/waiting-for-superman-2010", "$6,417,135", "$139,033", "$46,344", "Sep 24, 2010"
"144", "The Secret in Their Eyes (2010) (Sony Pictures Classics)", "/statistics/movies/the-secret-in-their-eyes-2009", "$6,391,436", "$167,866", "$55,955", "Apr 16, 2010"
"145", "It's Kind of a Funny Story (Focus)", "/statistics/movies/its-kind-of-a-funny-story-2010", "$6,363,628", "$2,013,406", "$671,135", "Oct 08, 2010"
"146", "The Warrior's Way (Relativity Media)", "/statistics/movies/the-warriors-way-2010", "$5,657,614", "$3,048,665", "$1,016,222", "Dec 03, 2010"
"147", "The Girl Who Kicked the Hornet's Nest (Music Box)", "/statistics/movies/the-girl-who-kicked-the-hornets-nest-2009", "$5,189,452", "$723,301", "$241,100", "Oct 29, 2010"
"148", "Biutiful (Roadside Attractions)", "/statistics/movies/biutiful-2010", "$5,101,237", "$45,293", "$15,098", "Dec 29, 2010"
"149", "I Am Love (Magnolia)", "/statistics/movies/i-am-love-io-sono-lamore-2009", "$5,005,465", "$121,504", "$40,501", "Jun 18, 2010"
