#, movie, href, total gross, opening, opening daily avg, release date
"1", "Toy Story 3 (Disney)", "/statistics/movies/toy-story-3-2010", "$415,004,880", "$110,307,189", "$36,769,063", "Jun 18, 2010"
"2", "Alice in Wonderland (2010) (Disney)", "/statistics/movies/alice-in-wonderland-2010-2010", "$334,191,110", "$116,101,023", "$38,700,341", "Mar 05, 2010"
"3", "Iron Man 2 (Paramount)", "/statistics/movies/iron-man-2-2010", "$312,128,345", "$128,122,480", "$42,707,493", "May 07, 2010"
"4", "The Twilight Saga: Eclipse (Summit)", "/statistics/movies/the-twilight-saga-eclipse-2010", "$300,531,751", "$64,832,191", "$21,610,730", "Jun 30, 2010"
"5", "Harry Potter and the Deathly Hallows: Part 1 (Warner Bros.)", "/statistics/movies/harry-potter-and-the-deathly-hallows-part-one-2010", "$295,983,305", "$125,017,372", "$41,672,457", "Nov 19, 2010"
"6", "Inception (Warner Bros.)", "/statistics/movies/inception-2010", "$292,576,195", "$62,785,337", "$20,928,446", "Jul 16, 2010"
"7", "Despicable Me (Universal)", "/statistics/movies/despicable-me-2010", "$251,513,985", "$56,397,125", "$18,799,042", "Jul 09, 2010"
"8", "Shrek Forever After (Paramount / DreamWorks)", "/statistics/movies/shrek-forever-after-2010", "$238,395,990", "$70,838,207", "$23,612,736", "May 21, 2010"
"9", "How to Train Your Dragon (Paramount / DreamWorks)", "/statistics/movies/how-to-train-your-dragon-2010", "$217,581,231", "$43,732,319", "$14,577,440", "Mar 26, 2010"
"10", "Tangled (Disney)", "/statistics/movies/tangled-2010", "$200,821,936", "$48,767,052", "$16,255,684", "Nov 24, 2010"
"11", "The Karate Kid (2010) (Sony / Columbia)", "/statistics/movies/the-karate-kid-2010", "$176,591,618", "$55,665,805", "$18,555,268", "Jun 11, 2010"
"12", "TRON: Legacy (Disney)", "/statistics/movies/tron-legacy-2010", "$172,062,763", "$44,026,211", "$14,675,404", "Dec 17, 2010"
"13", "True Grit (2010) (Paramount)", "/statistics/movies/true-grit-2010", "$171,050,328", "$24,830,443", "$8,276,814", "Dec 22, 2010"
"14", "Clash of the Titans (2010) (Warner Bros.)", "/statistics/movies/clash-of-the-titans-2010-2010", "$163,214,888", "$61,235,105", "$20,411,702", "Apr 02, 2010"
"15", "Grown Ups (Sony / Columbia)", "/statistics/movies/grown-ups-2010", "$162,001,186", "$40,506,562", "$13,502,187", "Jun 25, 2010"
"16", "Little Fockers (Universal)", "/statistics/movies/meet-the-fockers-sequel-2010", "$148,438,600", "$30,833,665", "$10,277,888", "Dec 22, 2010"
"17", "Megamind (Paramount / DreamWorks)", "/statistics/movies/oobermind-2010", "$148,415,853", "$46,016,833", "$15,338,944", "Nov 05, 2010"
"18", "The King's Speech (Weinstein Company)", "/statistics/movies/the-kings-speech-2010", "$138,797,449", "$355,450", "$118,483", "Nov 26, 2010"
"19", "The Last Airbender (Paramount)", "/statistics/movies/the-last-airbender-2010", "$131,601,062", "$40,325,019", "$13,441,673", "Jul 01, 2010"
"20", "Shutter Island (Paramount)", "/statistics/movies/shutter-island-2010", "$128,012,934", "$41,062,440", "$13,687,480", "Feb 19, 2010"
"21", "The Other Guys (Sony / Columbia)", "/statistics/movies/the-other-guys-2010", "$119,219,978", "$35,543,162", "$11,847,721", "Aug 06, 2010"
"22", "Salt (Sony / Columbia)", "/statistics/movies/salt-2010", "$118,311,368", "$36,011,243", "$12,003,748", "Jul 23, 2010"
"23", "Jackass 3D (Paramount)", "/statistics/movies/jackass-3d-2010", "$117,229,692", "$50,353,641", "$16,784,547", "Oct 15, 2010"
"24", "Valentine's Day (Warner Bros. / New Line)", "/statistics/movies/valentine-s-day-2010", "$110,486,000", "$56,260,707", "$18,753,569", "Feb 12, 2010"
"25", "Black Swan (Fox Searchlight)", "/statistics/movies/black-swan-2010", "$106,954,678", "$1,443,809", "$481,270", "Dec 03, 2010"
"26", "Robin Hood (Universal)", "/statistics/movies/robin-hood-2010-2010", "$105,269,730", "$36,063,000", "$12,021,000", "May 14, 2010"
"27", "The Chronicles of Narnia: The Voyage of the Dawn Treader (Fox)", "/statistics/movies/the-chronicles-of-narnia-the-voyage-of-the-dawn-treader-2010", "$104,386,950", "$24,005,069", "$8,001,690", "Dec 10, 2010"
"28", "The Expendables (Lionsgate)", "/statistics/movies/the-expendables-2010", "$103,068,524", "$34,825,135", "$11,608,378", "Aug 13, 2010"
"29", "Due Date (Warner Bros.)", "/statistics/movies/due-date-2010", "$100,539,043", "$32,689,406", "$10,896,469", "Nov 05, 2010"
"30", "Yogi Bear (Warner Bros.)", "/statistics/movies/yogi-bear-2010", "$100,246,011", "$16,411,322", "$5,470,441", "Dec 17, 2010"
"31", "Date Night (Fox)", "/statistics/movies/date-night-2010", "$98,711,404", "$25,207,599", "$8,402,533", "Apr 09, 2010"
"32", "The Social Network (Sony / Columbia)", "/statistics/movies/the-social-network-2010", "$96,962,694", "$22,445,653", "$7,481,884", "Oct 01, 2010"
"33", "Sex and the City 2 (Warner Bros. / New Line)", "/statistics/movies/sex-and-the-city-2-2010", "$95,347,692", "$31,002,000", "$10,334,000", "May 27, 2010"
