#,movie,href,total gross,opening,opening daily avg,release date
"1","Avatar (Fox)","/statistics/movies/avatar-2009","$760,507,625","$77,025,481","$25,675,160","Dec 18, 2009"
"2","Transformers: Revenge of the Fallen (Paramount / DreamWorks)","/statistics/movies/transformers-revenge-of-the-fallen-2009","$402,111,347","$108,967,060","$36,322,353","Jun 24, 2009"
"3","Harry Potter and the Half-Blood Prince (Warner Bros.)","/statistics/movies/harry-potter-and-the-half-blood-prince-2009","$301,959,187","$77,834,460","$25,944,820","Jul 15, 2009"
"4","The Twilight Saga: New Moon (Summit)","/statistics/movies/the-twilight-saga-new-moon-2009","$296,639,747","$142,839,009","$47,613,003","Nov 20, 2009"
"5","Up (Disney)","/statistics/movies/up-2009","$293,003,689","$68,108,387","$22,702,796","May 29, 2009"
"6","The Hangover (Warner Bros.)","/statistics/movies/the-hangover-2009","$277,322,696","$44,979,170","$14,993,057","Jun 05, 2009"
"7","Star Trek (Paramount)","/statistics/movies/star-trek-2009","$257,730,024","$75,203,883","$25,067,961","May 08, 2009"
"8","The Blind Side (Warner Bros.)","/statistics/movies/the-blind-side-2009","$255,959,000","$34,119,328","$11,373,109","Nov 20, 2009"
"9","Alvin and the Chipmunks: The Squeakquel (Fox)","/statistics/movies/alvin-and-the-chipmunks-the-squeakuel-2009","$219,615,000","$48,875,415","$16,291,805","Dec 23, 2009"
"10","Sherlock Holmes (Warner Bros.)","/statistics/movies/sherlock-holmes-2009","$209,028,670","$62,304,277","$20,768,092","Dec 25, 2009"
"11","Monsters vs. Aliens (Paramount / DreamWorks)","/statistics/movies/monsters-vs-aliens-2009","$198,351,649","$59,322,506","$19,774,169","Mar 27, 2009"
"12","Ice Age: Dawn of the Dinosaurs (Fox)","/statistics/movies/ice-age-dawn-of-the-dinosaurs-2009","$196,573,063","$41,689,758","$13,896,586","Jul 01, 2009"
"13","X-Men Origins: Wolverine (Fox)","/statistics/movies/x-men-origins-wolverine-2009","$179,879,302","$85,057,400","$28,352,467","May 01, 2009"
"14","Night at the Museum: Battle of the Smithsonian (Fox)","/statistics/movies/night-at-the-museum-battle-of-the-smithsonian-2009","$177,241,680","$54,172,744","$18,057,581","May 22, 2009"
"15","2012 (Sony / Columbia)","/statistics/movies/2012-2009","$166,166,781","$65,237,751","$21,745,917","Nov 13, 2009"
"16","The Proposal (Disney)","/statistics/movies/the-proposal-2009","$163,950,545","$33,629,615","$11,209,872","Jun 19, 2009"
"17","Fast & Furious (Universal)","/statistics/movies/fast-and-furious-2009","$155,152,236","$70,950,396","$23,650,132","Apr 03, 2009"
"18","G.I. Joe: The Rise of Cobra (Paramount)","/statistics/movies/g-i-joe-the-rise-of-cobra-2009","$150,201,919","$54,713,171","$18,237,724","Aug 07, 2009"
"19","Paul Blart: Mall Cop (Sony / Columbia)","/statistics/movies/paul-blart-mall-cop-2009","$146,336,624","$31,832,584","$10,610,861","Jan 16, 2009"
"20","Taken (Fox)","/statistics/movies/taken-2009","$145,000,403","$24,717,280","$8,239,093","Jan 30, 2009"
"21","Disney's A Christmas Carol (Disney)","/statistics/movies/a-christmas-carol-2009-2009","$137,785,051","$30,050,826","$10,016,942","Nov 06, 2009"
"22","Angels & Demons (Sony / Columbia)","/statistics/movies/angels-demons-2009","$133,378,559","$46,204,631","$15,401,544","May 15, 2009"
"23","Terminator Salvation (Warner Bros.)","/statistics/movies/terminator-salvation-2009","$125,322,732","$42,558,199","$14,186,066","May 21, 2009"
"24","Cloudy with a Chance of Meatballs (Sony / Columbia)","/statistics/movies/cloudy-with-a-chance-of-meatballs-2009","$124,869,468","$30,304,539","$10,101,513","Sep 18, 2009"
"25","Inglourious Basterds (Weinstein Company)","/statistics/movies/inglourious-basterds-2009","$120,540,835","$38,054,171","$12,684,724","Aug 21, 2009"
